epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.179,2.78569,3.39396,1.53752,0.5948,0.26596,0.33121,0.1044,2.39807,2.83472,1.23393,0.000660256,0.000660256,0.000660256
2,226.102,2.48127,2.44933,1.34979,0.0982,0.18085,0.02848,0.00864,2.71914,9.43908,1.38883,0.00131379,0.00131379,0.00131379
3,330.736,2.40241,2.2328,1.32392,0.02292,0.0922,0.00446,0.00146,3.11316,104.304,1.26917,0.00195412,0.00195412,0.00195412
4,452.374,2.39077,2.19743,1.32949,0.58035,0.19858,0.19053,0.06627,2.40144,1.95965,1.20049,0.0019406,0.0019406,0.0019406
5,574.934,2.35429,2.08392,1.30348,0.48327,0.37589,0.32169,0.10308,2.49671,1.70809,1.24676,0.0019208,0.0019208,0.0019208
6,682.948,2.33857,2.03742,1.27541,0.656,0.39362,0.42851,0.1602,2.25965,1.48221,1.16272,0.001901,0.001901,0.001901
7,778.431,2.26897,1.96309,1.25991,0.7123,0.5922,0.65502,0.21568,2.31253,1.58793,1.14654,0.0018812,0.0018812,0.0018812
8,900.907,2.25116,1.89721,1.24556,0.7117,0.36525,0.38486,0.14097,2.29733,1.56861,1.15221,0.0018614,0.0018614,0.0018614
9,988.612,2.23725,1.88116,1.23694,0.80205,0.63222,0.69266,0.25289,2.1733,1.4838,1.11262,0.0018416,0.0018416,0.0018416
10,1078.5,2.22321,1.88893,1.23092,0.85252,0.63475,0.7156,0.26371,2.25307,1.38808,1.16715,0.0018218,0.0018218,0.0018218
11,1172.5,2.1583,1.78899,1.21263,0.90575,0.74113,0.7842,0.28311,2.19025,1.2961,1.11301,0.001802,0.001802,0.001802
12,1259.61,2.17699,1.76856,1.21277,0.7992,0.68085,0.71019,0.25158,2.18791,1.33551,1.10636,0.0017822,0.0017822,0.0017822
13,1338.24,2.13782,1.77797,1.20148,0.7836,0.67376,0.73446,0.24969,2.27092,1.41849,1.13964,0.0017624,0.0017624,0.0017624
14,1412.66,2.12273,1.71321,1.20231,0.84735,0.70865,0.75413,0.26778,2.2875,1.27584,1.16043,0.0017426,0.0017426,0.0017426
15,1488.67,2.13939,1.71278,1.19774,0.89741,0.71986,0.79664,0.29022,2.22184,1.23849,1.12485,0.0017228,0.0017228,0.0017228
16,1570.55,2.11269,1.70762,1.18979,0.84301,0.65957,0.71735,0.25762,2.19111,1.35822,1.11723,0.001703,0.001703,0.001703
17,1651.16,2.09014,1.66501,1.17943,0.88601,0.69149,0.76663,0.27354,2.2439,1.30836,1.14679,0.0016832,0.0016832,0.0016832
18,1727.08,2.08365,1.67747,1.18387,0.80415,0.6989,0.73273,0.25521,2.31137,1.27018,1.15801,0.0016634,0.0016634,0.0016634
19,1805.52,2.08027,1.6393,1.18229,0.85224,0.70213,0.77155,0.31136,2.08905,1.2609,1.07785,0.0016436,0.0016436,0.0016436
20,1889.53,2.0886,1.66194,1.17655,0.84704,0.71986,0.76385,0.29856,2.10189,1.35934,1.07965,0.0016238,0.0016238,0.0016238
21,1959.69,2.08955,1.6152,1.17576,0.86168,0.7695,0.81699,0.34699,2.0466,1.14088,1.07762,0.001604,0.001604,0.001604
22,2035.78,2.04751,1.59306,1.16119,0.86869,0.69504,0.76044,0.28716,2.10164,1.34797,1.06107,0.0015842,0.0015842,0.0015842
23,2105.59,2.0308,1.59472,1.15759,0.85548,0.71631,0.78433,0.2995,2.11465,1.17303,1.09645,0.0015644,0.0015644,0.0015644
24,2172.99,2.03651,1.57965,1.15803,0.88638,0.74692,0.80724,0.32329,1.99178,1.13237,1.05617,0.0015446,0.0015446,0.0015446
25,2250.07,2.03798,1.54178,1.15642,0.89656,0.74468,0.81276,0.3331,2.10248,1.21823,1.11363,0.0015248,0.0015248,0.0015248
26,2317.68,2.00522,1.54123,1.14833,0.89515,0.75177,0.83129,0.32482,2.10216,1.16138,1.07161,0.001505,0.001505,0.001505
27,2394.16,2.01131,1.51544,1.15674,0.8568,0.71631,0.77654,0.30383,2.11455,1.19028,1.09063,0.0014852,0.0014852,0.0014852
28,2466.35,2.00938,1.51629,1.1511,0.90013,0.76708,0.84318,0.3573,1.99106,1.13551,1.0591,0.0014654,0.0014654,0.0014654
29,2530.02,2.00399,1.5037,1.14271,0.88003,0.72695,0.79782,0.33036,2.07721,1.21637,1.07276,0.0014456,0.0014456,0.0014456
30,2596.64,1.99953,1.51472,1.13808,0.91942,0.76878,0.85043,0.34903,1.98569,1.08681,1.05384,0.0014258,0.0014258,0.0014258
31,2669.39,1.98887,1.50913,1.14036,0.87764,0.73759,0.82314,0.31992,2.0576,1.1244,1.05703,0.001406,0.001406,0.001406
32,2736.7,1.96974,1.46936,1.14547,0.92799,0.77688,0.85065,0.31414,2.15824,1.1286,1.1017,0.0013862,0.0013862,0.0013862
33,2799.26,1.96916,1.45541,1.12967,0.87872,0.73759,0.82621,0.34299,2.05614,1.14641,1.06405,0.0013664,0.0013664,0.0013664
34,2866.41,1.97347,1.45548,1.14036,0.8786,0.78723,0.83878,0.35796,2.00369,1.07822,1.05971,0.0013466,0.0013466,0.0013466
35,2934.36,1.98833,1.45078,1.13693,0.90042,0.76241,0.82881,0.37575,1.96051,1.11061,1.04038,0.0013268,0.0013268,0.0013268
36,2998.78,1.97414,1.45078,1.13812,0.90798,0.7698,0.84349,0.35716,2.00158,1.08558,1.05734,0.001307,0.001307,0.001307
37,3075.04,1.9551,1.44078,1.13145,0.86627,0.76596,0.82598,0.32118,2.00991,1.09394,1.05401,0.0012872,0.0012872,0.0012872
